ID,EN,CN
"LT_The publishing process has begun. Since the process can take some time, the system will send you a notification once the process is complete.","The publishing process has begun. Since the process can take some time, the system will send you a notification once the process is complete.","开始发布，发布过程由于上传资源将持续一段时间,发布完成后系统将使用消息队列通知您。 "
LT_Module Switch,Module Switch,模块开关 
LT_Debugging Tools,Debugging Tools,调试信息 
LT_FPS Statistics,FPS Statistics,FPS开关 
LT_Show Collision,Show Collision,碰撞信息 
LT_Copy,Copy,复制 
LT_Paste,Paste,粘贴 
LT_Group,Group,成组 
LT_Ungroup,Ungroup,取消成组 
LT_Save to My Model,Save to My Model,存至我的模型 
LT_Lock,Lock,锁定 
LT_Array,Array,阵列 
LT_Scaling,Scaling,缩放 
LT_Movement,Movement,动效 
LT_Straight Line,Straight Line,直线 
LT_Circle,Circle,圆形 
LT_Quantity,Quantity,数量 
LT_Done,Done,完成 
LT_Cancel,Cancel,取消 
